sqft,bedrooms,bathrooms,lot_size,age_years,garage_spaces,neighborhood_quality,distance_to_downtown_mi,has_pool,overall_condition,sale_price
2528,6,5.0,9972,28,1,4,5.3,0,5,418000
1717,3,3.5,12805,47,2,4,12.3,1,1,283200
1179,1,1.0,11108,3,3,3,5.3,1,1,226700
756,1,1.0,8237,2,2,3,3.3,1,2,179600
1932,3,1.5,8207,11,2,3,0.7,0,3,309100
1308,2,2.0,11041,54,2,2,6.4,0,4,230300
876,1,1.0,14090,16,2,3,2.5,0,4,193900
1380,4,3.0,9505,15,2,3,7.6,0,2,245200
1097,3,2.5,7123,3,1,4,30.2,0,3,213800
2897,3,2.5,5029,0,3,4,0.9,1,5,478400
2373,5,4.0,3219,33,2,3,1.9,0,3,362200
1795,2,1.5,11665,2,2,3,5.1,0,2,273600
2762,6,5.0,11312,20,2,2,27.7,0,3,380700
1850,3,2.0,11309,49,0,4,11.8,1,3,337200
1240,5,3.5,8485,5,1,3,18.3,0,3,255500
2790,4,2.5,14628,22,2,2,3.2,0,3,396800
2150,4,3.5,7064,2,2,2,38.7,1,1,289800
1126,6,5.0,12821,19,1,2,0.9,0,5,291700
1676,3,2.5,8845,4,2,4,0.5,0,3,330700
1231,6,5.0,6567,27,2,2,15.5,0,3,242700
901,3,1.5,11370,7,2,3,21.0,0,5,229800
2402,3,3.0,10639,12,2,3,0.8,0,2,336800
3041,3,3.0,10428,18,3,3,1.0,0,2,393000
891,3,2.5,9325,4,2,4,0.5,1,4,261400
2166,2,2.5,8848,27,2,4,0.9,0,3,347200
1377,4,2.0,18553,7,1,3,1.9,0,4,274800
1483,3,2.0,13737,22,1,1,28.1,0,3,215300
1415,4,2.5,11891,3,0,3,8.8,0,1,206400
1238,4,3.5,9447,23,2,3,12.1,0,3,233800
1832,3,1.5,13029,3,1,3,12.0,0,2,273000
1260,3,2.5,11072,11,1,4,6.1,0,4,240500
1976,3,3.0,9105,6,2,2,12.8,0,3,318700
1767,2,2.0,7786,28,1,3,7.2,0,5,265400
1645,2,1.5,8676,6,1,2,3.0,0,4,250600
1210,3,2.0,1500,43,1,4,6.6,0,2,235800
1425,3,2.0,9842,44,2,3,6.1,0,4,272500
2291,6,5.0,7046,4,1,4,13.9,0,3,353500
2126,4,3.5,15371,19,2,1,32.0,0,4,300700
1165,3,2.0,9077,2,2,3,4.2,0,4,252700
1865,4,3.0,4244,10,2,4,11.5,0,3,355000
2288,2,1.0,8800,25,2,2,0.8,1,3,332300
715,3,1.5,4816,22,2,4,12.0,0,3,184600
2153,4,4.0,10894,20,0,3,3.7,0,3,320300
1369,3,1.5,10164,7,1,3,0.5,0,2,231500
2171,3,2.5,12831,9,1,3,3.6,0,3,321500
1304,6,5.0,5836,2,1,3,7.5,0,3,292600
627,5,3.0,9136,25,1,3,1.0,0,2,184900
742,4,3.0,3540,14,1,3,20.6,0,1,161500
1831,4,3.5,11806,25,2,4,0.6,0,3,362500
1969,4,3.0,11075,6,2,3,21.3,0,3,264500
1212,3,3.5,10983,8,2,2,9.8,0,4,260400
2215,3,1.5,9006,8,2,2,3.2,1,3,329000
720,1,1.5,10659,1,1,1,4.0,1,3,166200
1757,3,2.0,15417,8,1,3,10.8,0,3,275500
1013,3,2.5,7860,33,2,4,7.4,0,4,225600
1376,3,2.5,9555,46,0,4,8.9,0,3,261900
1831,6,4.0,4655,15,0,2,3.9,0,5,346900
1241,5,4.0,5527,12,2,5,5.4,1,5,339300
1550,4,2.0,9391,1,3,3,36.7,0,4,278900
2454,3,2.5,13416,42,2,5,1.9,0,5,414800
1425,5,4.0,7975,0,0,4,4.3,0,3,279200
2343,2,2.0,8056,58,2,4,2.8,0,3,338100
1066,4,3.5,7372,13,2,1,11.6,0,4,190800
2144,2,1.5,6861,8,2,2,11.6,0,4,263000
2737,4,3.0,10180,52,2,1,2.8,0,4,350800
500,3,2.0,3011,0,2,4,0.7,0,4,186500
1282,5,3.5,14124,17,1,3,0.5,0,5,285300
2175,5,4.5,6338,16,2,4,4.5,0,3,368700
1668,2,2.0,11888,5,2,3,4.2,0,4,301200
2041,3,2.0,3920,11,2,4,35.6,0,4,298100
1407,6,4.5,11675,21,2,2,5.1,0,4,267900
1856,3,2.0,11688,26,3,2,2.4,1,3,267700
1699,5,4.5,10537,0,3,3,17.7,1,4,316700
2559,4,3.5,5022,55,2,3,5.4,1,5,376700
1965,3,3.0,9998,4,2,3,7.3,0,3,326100
2019,3,2.0,4268,5,3,4,0.8,1,3,365800
1532,3,2.0,7989,6,0,1,3.9,0,3,240200
1483,4,3.0,13118,1,1,3,23.1,1,5,302500
1519,3,2.5,12187,3,2,4,7.1,0,3,292500
2056,3,2.0,9061,86,2,1,3.4,1,3,278500
1526,3,2.0,5101,8,2,5,7.9,0,3,281500
1988,4,3.5,11582,2,2,5,19.3,0,4,334600
3149,5,4.0,9078,2,1,1,2.6,0,2,417400
2366,6,4.0,1500,25,1,2,5.6,0,3,328900
1588,3,3.0,12131,39,2,3,25.5,0,5,250400
2581,4,3.5,8903,6,1,4,1.5,0,4,394500
1535,4,3.0,13810,0,2,3,10.2,0,2,261800
500,4,3.0,4619,5,1,3,7.6,0,5,185800
1145,6,5.0,1500,1,1,4,9.1,0,4,289800
584,3,2.0,10116,2,2,2,3.5,0,2,152900
1572,2,1.5,10166,11,2,4,3.0,0,1,229100
1812,5,2.5,2237,5,2,4,9.2,0,2,298100
2890,3,2.5,5086,15,0,3,1.9,0,4,391400
2013,4,2.0,20021,6,2,4,4.4,0,1,337400
1658,5,4.5,7778,56,2,4,1.7,0,3,305200
2339,2,1.5,11924,47,2,2,0.5,0,4,336200
500,5,3.5,6397,17,2,3,28.1,0,3,155800
1953,3,2.0,1500,9,1,3,4.5,0,4,299800
2301,3,2.0,8319,10,2,1,27.9,0,4,294100
839,4,3.5,7938,11,2,5,1.2,1,2,250500
2543,5,2.5,7400,26,2,2,7.1,0,4,349700
2020,1,1.5,8541,12,1,4,1.8,0,3,343300
1530,3,2.5,10057,39,3,3,12.5,0,3,273800
2211,4,2.5,8400,58,2,1,12.2,0,3,301700
3276,4,2.5,3944,8,1,5,1.0,0,2,482500
1918,4,4.0,10945,16,1,4,19.4,0,5,346700
1961,2,1.0,1500,2,2,3,1.7,0,3,309800
1501,3,1.5,1500,4,2,2,7.6,0,2,193600
1248,3,3.0,11957,11,2,2,33.9,0,5,222200
2340,4,3.0,11028,5,2,3,17.1,0,3,344200
1244,3,2.0,8770,42,2,2,25.1,1,4,243300
1847,3,2.5,3418,3,2,3,3.4,0,3,313400
1490,6,4.0,6168,12,1,5,0.9,0,4,318000
2111,1,1.5,7949,19,2,3,1.7,1,1,312300
2017,6,5.0,2616,24,3,4,5.6,0,3,357200
2474,4,3.5,6044,10,1,4,12.6,0,3,378500
1468,4,3.0,11609,41,2,3,1.3,0,2,248500
1625,3,3.0,14709,17,2,4,8.6,0,4,321300
1164,1,1.0,7322,12,2,3,3.1,0,3,213700
1511,4,2.5,12026,1,2,4,3.3,0,3,308800
2045,4,3.0,1500,12,2,2,8.7,0,1,260900
2292,4,4.0,11638,34,0,2,5.0,0,4,326100
1201,2,1.0,5784,19,3,4,13.4,0,4,262300
2365,4,3.0,10229,36,2,3,1.4,0,3,340200
2681,4,3.0,8009,14,2,4,12.5,0,3,377300
2069,4,3.0,14282,3,2,5,0.5,0,3,383400
3020,4,2.5,5502,0,2,1,1.7,0,3,369800
1297,4,3.5,11510,7,1,3,8.5,0,1,222400
991,4,4.0,7882,24,1,3,15.4,0,3,212200
644,2,1.5,8367,31,2,3,2.3,1,3,158900
2772,3,2.0,8265,7,1,4,3.2,0,5,401400
2225,2,1.0,5617,14,0,2,6.2,0,3,323800
1764,3,2.5,8944,11,2,3,1.9,1,4,326800
1982,3,3.0,8749,11,2,4,13.3,0,3,311800
1068,2,1.5,9965,5,1,2,11.9,1,5,227100
3390,3,2.0,9338,3,2,4,1.3,0,3,481700
1884,2,1.0,12192,4,2,3,5.0,0,3,318100
1871,4,2.5,12694,1,2,5,11.9,0,4,353600
2272,5,4.0,4798,4,2,3,3.3,0,1,356900
2113,2,2.0,12475,0,2,2,8.0,0,2,262800
1946,6,3.5,4255,20,1,3,0.5,1,2,303400
1286,3,3.0,11351,8,1,1,7.5,0,4,224300
2106,3,2.5,11479,72,2,5,1.3,0,1,350400
3023,2,2.0,1500,4,2,1,14.2,0,4,340700
2675,3,1.5,9372,8,2,4,3.5,0,3,400600
2836,4,2.5,7126,9,2,3,2.6,0,1,371200
1468,4,3.0,5965,0,2,3,14.7,0,3,255500
1157,2,2.0,14403,37,2,1,0.5,0,2,211200
1718,2,2.5,6385,1,1,3,4.0,0,3,296300
1836,3,2.5,5774,56,0,3,3.7,0,4,268400
2511,3,2.0,9303,45,2,2,2.7,1,3,333000
700,3,1.5,11742,15,0,5,19.4,0,1,172800
2794,3,3.0,8433,16,1,3,11.1,0,4,387900
1697,4,2.5,13665,21,2,3,0.5,0,4,300100
1523,5,4.5,11124,10,2,3,10.0,0,4,317900
1142,3,2.0,1500,21,2,2,6.0,0,4,211500
724,5,4.5,6882,1,1,5,18.5,1,3,249900
2335,3,2.5,6753,1,0,3,3.0,0,4,325600
1848,3,2.0,10917,12,1,1,6.8,0,3,279300
962,3,2.0,1500,16,2,3,5.6,0,1,130200
958,4,3.0,19196,44,2,3,5.4,0,4,259700
1582,6,4.5,11124,2,2,3,4.9,0,5,344400
2885,4,3.0,9596,35,2,4,1.8,1,4,438200
1631,3,2.0,13726,5,3,1,11.3,0,3,273900
823,4,3.0,18375,10,1,2,4.8,0,3,204900
1640,2,1.5,12483,8,2,4,25.5,0,3,273600
1623,5,2.5,12795,10,2,1,2.4,0,4,278900
500,3,2.5,9523,3,3,4,9.2,0,2,244700
1765,3,2.0,8434,14,3,1,22.6,0,4,270600
1650,4,2.5,7097,32,1,4,8.7,0,3,299500
2253,4,2.0,5696,12,2,3,16.4,1,4,326500
3002,2,1.0,6252,13,2,3,14.1,0,5,402200
2532,4,2.5,3598,38,0,2,3.6,0,3,313500
1625,3,2.0,8697,24,0,1,7.3,0,3,238500
1081,4,4.0,2261,13,2,2,1.4,0,4,227700
3473,4,2.5,9764,6,2,2,6.1,1,3,436400
1838,4,3.0,8855,43,0,3,2.1,0,4,304200
1809,4,3.0,9588,17,2,3,10.9,0,3,282600
1784,3,2.5,6911,5,1,3,6.0,0,2,281400
1929,2,1.5,21307,6,2,4,4.2,0,4,335500
1706,4,2.5,14440,33,1,4,2.5,0,2,304200
1427,3,3.0,4022,1,1,3,40.0,0,5,243900
1445,3,3.0,9931,97,2,3,0.6,0,3,264000
1779,3,1.5,6568,3,1,3,0.5,1,4,301900
1447,2,1.0,4942,32,2,3,2.0,0,3,245000
1337,4,3.0,3640,10,1,4,28.3,1,3,260600
1869,2,1.0,10729,14,2,2,31.0,0,3,223500
1634,4,3.5,6274,43,1,1,8.5,0,4,248200
2778,3,2.0,12871,11,2,4,17.0,0,3,421600
500,1,2.0,12975,15,2,2,1.9,0,4,172800
2509,3,3.0,14496,1,1,4,28.6,1,3,378700
2610,1,1.0,5590,0,2,4,1.2,0,4,397500
500,3,3.0,10901,6,0,1,0.9,0,4,157200
1577,4,3.5,11530,23,2,2,1.0,0,2,279300
1559,2,1.0,7103,3,1,3,6.8,0,3,216400
885,4,2.5,5913,2,2,3,12.1,1,3,188300
1294,1,1.0,15438,11,2,2,3.7,0,3,244600
1078,3,2.5,9910,21,3,4,30.5,0,3,193300
2939,4,3.0,11544,25,2,3,4.6,0,4,430500
2408,3,1.5,5712,4,2,3,1.3,0,3,343900
2627,2,1.0,4123,2,2,1,5.0,0,4,312100
2269,3,2.0,6722,56,3,4,9.1,0,5,369500
1066,3,2.0,8504,6,2,2,14.3,0,3,200100
1459,4,4.0,4743,38,1,4,4.9,0,3,315100
2118,3,1.5,8961,40,2,3,7.2,0,2,292000
1006,4,3.5,2246,30,2,3,2.5,0,4,253200
2263,5,4.5,4520,4,2,4,8.3,0,3,377300
1644,3,3.5,11684,34,2,4,34.1,0,3,258800
1556,5,3.5,11415,29,1,3,0.5,1,5,333100
2262,3,2.5,7432,18,2,2,17.4,0,3,313600
2089,6,5.0,4929,8,1,4,6.6,1,4,379300
1565,2,1.5,4890,6,1,3,2.3,0,3,261500
2554,4,3.0,7507,3,1,2,24.8,0,2,309800
1097,3,2.5,11578,14,2,5,5.3,0,4,264100
2200,3,1.0,12713,18,1,2,3.2,0,1,305300
2186,4,3.5,7014,9,0,1,1.6,0,4,303700
1599,4,3.0,4386,13,2,1,2.2,1,1,236700
2012,1,1.0,10071,9,1,3,14.3,0,4,299500
987,2,2.5,5706,20,1,4,7.6,0,2,212100
2401,4,2.5,6927,46,1,3,19.6,0,3,299200
1680,4,3.0,14301,4,2,3,2.1,0,3,332200
1460,6,5.0,12308,10,2,3,1.0,0,3,306800
2482,4,2.5,9632,3,0,4,0.5,1,3,391600
1342,6,4.0,3912,20,3,1,5.7,0,3,241000
885,4,3.0,9846,26,2,5,40.0,0,3,213600
788,3,2.5,13251,54,1,2,9.5,0,3,185800
2194,2,1.5,7497,7,1,5,2.9,1,3,377700
968,4,2.5,14404,60,2,2,16.8,1,3,216900
2941,4,2.5,14171,1,2,4,12.2,0,3,457100
500,1,1.0,15655,18,1,2,0.5,1,5,193500
2903,3,2.0,10221,1,1,1,13.6,0,3,350500
1937,6,4.5,11350,45,2,4,2.9,1,2,336300
1737,3,2.5,14657,15,1,4,1.3,0,3,347300
1446,3,1.5,10790,22,2,3,2.1,0,4,266000
2059,3,3.0,6995,36,2,4,5.1,0,1,306800
1776,3,2.5,7206,3,2,3,4.4,0,4,273300
2517,3,3.0,9954,1,1,4,2.7,0,3,395400
1874,3,2.5,3838,42,2,3,1.5,0,2,286100
1898,2,2.0,8427,8,0,3,11.5,0,4,262100
1564,4,3.0,13386,3,2,3,36.9,1,3,275200
1763,3,3.0,1500,13,2,3,12.0,0,3,265300
2000,4,3.5,15138,18,2,4,2.8,0,4,413800
688,5,3.5,13489,1,3,2,2.2,0,3,199300
924,3,3.5,7161,6,3,2,2.0,1,4,222900
2283,4,3.5,11174,1,3,3,1.2,1,3,367900
1911,3,2.5,9013,11,2,4,6.4,0,4,356300
1680,5,3.0,13920,45,2,2,7.4,0,4,281000
1812,3,1.5,12931,81,2,3,9.8,0,2,262900
2026,4,3.0,3400,20,2,5,9.1,0,4,366400
1449,4,3.0,11349,4,2,2,2.8,0,3,238200
1294,3,2.0,8177,47,1,4,3.2,1,2,266300
1927,2,1.5,9331,15,3,4,9.2,0,3,348900
1164,4,4.0,6087,3,2,3,3.4,0,2,251300
2065,4,3.5,15993,51,3,5,1.9,0,4,403600
693,3,1.5,13160,28,2,4,3.8,0,3,224300
2469,4,3.0,6041,26,1,3,2.5,0,5,405200
2107,3,2.0,3662,25,1,3,0.7,0,2,322400
1966,4,3.0,7457,4,1,4,14.2,0,3,329900
2439,2,1.5,10738,5,1,3,15.3,0,3,351300
2883,5,3.5,9961,23,2,4,2.0,0,3,419200
2459,3,1.5,14013,5,2,3,0.5,0,4,393600
603,3,2.0,12160,12,2,2,10.7,1,4,164100
968,2,1.0,12878,30,2,2,1.9,0,4,195000
1394,2,1.0,10307,31,0,1,4.0,0,4,150200
1817,3,3.5,3443,12,1,1,0.5,0,2,256700
2136,3,3.0,8217,31,0,4,2.1,0,3,324700
1328,4,3.0,13240,36,2,4,12.6,0,4,299600
1921,1,1.0,8794,21,2,4,13.1,0,3,303000
1309,3,1.5,11012,5,0,3,1.9,0,2,254600
1403,3,3.0,7725,6,1,4,3.3,0,3,257200
886,1,1.5,4881,8,1,3,1.2,0,3,207000
1200,2,1.5,8507,2,2,4,0.6,1,3,305600
921,3,3.0,10236,6,2,3,38.8,0,4,203100
1166,3,2.5,6377,5,2,5,8.5,1,3,292600
2485,3,1.5,8057,12,2,4,6.2,0,1,356000
1183,3,2.0,5242,48,3,2,11.6,0,2,182600
3511,4,3.0,13477,2,1,3,14.7,0,4,484500
2121,1,1.0,7822,25,2,3,13.1,0,5,284900
1920,3,2.0,14811,23,2,2,0.5,0,4,301700
1242,6,4.5,15115,2,2,3,1.7,0,3,256500
2255,3,2.0,8676,51,3,3,8.5,0,5,335800
1426,4,3.0,4966,17,2,1,3.8,0,4,246200
1879,3,1.5,1500,9,2,5,32.4,1,4,319400
3464,4,2.5,3112,28,0,3,8.8,0,4,439200
1738,4,2.5,3505,6,2,4,25.1,0,3,284800
2547,3,2.5,14514,24,1,4,1.8,0,3,357000
1343,6,3.5,9463,1,1,3,16.0,1,2,255800
1777,2,2.0,10558,37,2,3,3.1,0,3,274400
2951,1,1.5,1500,12,2,4,36.5,1,4,367200
1392,4,3.0,4208,20,0,5,1.4,0,4,304000
2978,4,1.5,12548,5,2,2,5.8,0,4,390900
2260,2,1.5,10147,23,2,4,12.6,0,3,327200
1434,3,2.0,8411,30,1,5,4.5,0,2,238100
2211,1,1.0,11259,13,2,4,5.1,1,2,337500
2432,3,2.0,15543,19,2,5,34.4,0,3,345000
2204,4,4.0,8116,12,2,3,4.4,1,3,361500
779,3,2.5,9277,45,2,5,7.4,0,3,209700
1327,3,2.0,9770,14,1,4,0.5,0,1,251700
1639,3,1.5,18568,37,2,1,14.8,0,5,254800
1752,1,1.0,1500,32,3,5,8.4,0,3,323500
2203,3,2.0,11733,11,2,3,4.1,0,4,356600
1916,4,3.0,8541,5,0,3,0.5,0,3,278500
932,6,4.0,11267,10,2,3,7.2,0,2,207500
2047,4,3.5,6371,35,2,2,0.5,0,4,318200
2197,1,1.5,8804,5,0,3,0.5,0,4,308600
2164,5,4.0,11846,15,3,4,7.7,0,3,320700
2503,4,3.0,21452,33,3,1,1.7,0,3,386300
2342,4,3.0,12232,9,0,2,1.7,0,2,341800
2098,3,2.0,5608,21,3,1,8.5,0,4,297400
1754,3,3.0,7305,6,2,3,0.5,1,5,319300
720,3,2.0,7186,2,2,4,3.0,0,2,211100
2079,2,1.5,1817,32,2,4,1.3,0,3,304900
1935,3,2.5,7680,2,2,5,6.9,0,5,366600
1977,3,2.0,11931,6,2,3,8.7,0,3,297300
970,3,1.5,3903,39,2,2,10.2,0,4,208900
1097,4,3.0,13194,9,0,5,2.4,0,3,246300
2485,3,2.0,10951,72,2,4,0.7,0,3,399400
1774,2,2.0,6063,78,1,3,0.7,0,3,273600
2243,6,4.0,8434,6,1,4,4.4,0,3,367100
1818,5,4.5,15393,1,1,5,23.3,0,1,329000
1819,4,2.5,11934,24,2,4,2.0,0,4,349200
2410,6,5.0,9035,12,1,3,2.4,0,4,414800
1465,3,1.5,8049,2,1,4,0.9,0,4,293400
1862,6,4.5,9306,25,1,1,7.4,0,3,265000
1500,2,1.5,6953,1,0,3,9.1,0,3,243600
1518,3,2.0,1500,41,2,3,8.2,1,1,270100
1599,3,2.5,17169,3,3,2,15.8,0,4,303800
1944,2,2.0,9621,3,1,1,5.3,0,3,282200
1489,2,1.0,10593,4,3,2,1.2,0,3,266200
2616,4,3.5,8768,65,2,4,2.7,0,2,400700
1219,4,2.0,6060,24,2,4,8.7,0,2,260100
1679,4,2.5,8256,32,2,5,7.6,0,3,308300
1514,2,2.5,2602,10,2,3,6.1,0,4,237900
2741,4,2.5,18108,8,1,3,9.2,0,5,417400
1928,4,2.5,4062,5,2,5,8.1,0,4,333900
2471,3,2.0,4872,13,2,2,17.1,0,5,316600
834,4,4.0,7239,16,2,4,7.1,1,5,247000
1974,3,1.5,14152,20,2,4,12.1,0,3,368700
2378,3,1.5,9058,6,0,1,2.3,1,3,318900
1853,5,4.5,4055,59,2,4,9.1,0,4,334800
2493,3,3.0,14017,4,2,4,18.6,0,3,357500
1464,3,2.0,11924,67,2,1,3.9,0,3,191100
2716,5,3.0,11154,0,1,1,12.1,1,3,351900
3294,4,4.0,11863,13,2,1,10.3,1,3,452800
1564,2,2.5,18577,8,2,3,0.5,0,3,300200
1510,2,2.0,17740,12,2,3,7.0,0,2,277200
2745,1,1.0,6253,17,2,3,1.1,0,3,380300
2827,4,3.0,15496,11,2,2,27.4,0,4,367600
1460,3,2.0,10533,11,1,5,13.3,0,3,310300
1527,2,1.5,10996,26,0,3,0.9,0,4,251900
1617,6,5.0,2231,23,0,1,1.0,1,2,278900
926,3,2.5,8318,36,2,3,7.2,0,2,203400
1203,3,1.5,5749,6,1,3,3.4,0,3,194900
1147,3,3.0,12312,19,2,3,0.5,0,3,233800
1301,4,3.0,13284,18,2,2,6.2,0,4,220400
1777,2,2.0,1500,9,0,2,3.9,0,4,277200
1952,3,3.0,8912,13,1,4,0.9,0,4,340100
2808,4,2.5,13487,8,1,5,13.0,0,5,405600
1151,3,2.0,8253,3,2,3,19.7,0,3,223500
2440,3,2.0,11916,5,1,3,11.3,1,3,351900
1661,3,1.5,10405,2,1,3,13.8,0,3,241300
1768,1,1.0,10367,23,3,4,2.0,0,2,323700
2239,2,3.0,7915,22,2,3,2.4,0,3,337400
1070,3,1.5,4134,60,1,5,1.9,0,3,233800
2049,3,2.0,4514,26,2,3,11.6,0,3,290700
1908,1,1.0,11837,1,2,3,23.6,0,2,240000
2120,4,3.0,9078,43,2,3,10.1,0,1,280900
1988,6,4.5,8446,40,2,5,17.1,1,4,398800
3396,4,2.5,7304,12,1,4,8.1,0,3,450300
1385,5,4.0,7779,18,2,1,3.9,0,4,246300
1455,3,2.0,13188,75,2,3,4.4,1,4,245100
1395,6,3.5,7659,15,1,3,0.6,0,2,241700
1439,2,2.0,3636,47,2,3,0.5,0,3,254900
1386,6,5.0,11975,2,2,4,9.5,0,2,305700
2573,6,4.5,8180,4,1,4,4.6,1,4,463000
2723,4,3.0,9126,12,1,4,6.4,0,4,436500
1429,6,5.0,15430,18,2,5,6.5,1,3,342100
1259,4,3.0,8918,34,0,2,2.6,0,3,230000
2106,3,2.5,10157,89,2,4,5.2,0,5,349800
1441,3,2.0,4284,10,1,4,5.1,0,3,301500
2211,4,3.5,8121,1,0,3,3.9,0,4,369200
1932,2,1.5,11438,32,2,4,13.7,0,3,309000
815,4,3.0,2779,19,2,2,4.8,0,3,183500
2806,6,4.0,9803,4,2,4,7.4,0,4,469600
2967,2,1.5,9403,14,2,3,18.1,0,4,401300
1402,4,2.5,9165,27,1,2,16.1,0,4,260200
1548,5,3.5,13149,29,2,4,17.7,0,3,254400
1986,5,3.5,10338,14,2,3,2.5,0,3,342800
2017,6,4.0,14912,7,1,2,0.5,0,4,334200
2228,3,3.5,5026,73,3,1,2.4,0,3,332200
3107,6,5.0,9544,22,1,3,2.6,0,3,473000
1685,4,4.0,9338,10,3,3,19.2,0,4,299000
1281,2,1.0,4723,7,2,4,8.4,0,3,269900
903,3,2.5,12825,26,2,5,0.7,0,3,288200
1325,4,2.5,18299,6,3,3,1.2,0,4,295700
1778,3,2.0,8932,4,2,4,1.4,1,5,391700
2966,4,2.5,11020,15,1,3,8.0,0,3,405400
1464,4,3.5,9338,7,2,4,10.6,0,3,285300
1945,2,1.5,6146,20,0,2,15.7,0,4,275600
1789,4,3.5,1717,3,2,3,22.6,0,4,278300
2572,4,3.5,6177,21,2,3,1.8,0,4,387600
3443,3,3.5,3432,7,2,1,3.0,0,3,442600
1455,1,1.0,15816,0,1,4,2.2,0,3,279400
1482,1,1.5,8540,3,2,4,3.6,0,3,243600
2479,3,3.0,7616,54,2,3,19.7,0,4,352300
2243,5,3.5,12557,40,0,3,6.8,0,4,337500
3000,3,3.0,4513,5,2,4,10.7,0,2,426300
2180,4,3.0,5933,30,1,4,5.4,0,3,355000
1566,3,2.0,9272,19,2,2,0.5,0,3,284100
2184,3,2.0,13115,71,1,3,0.5,0,5,363600
2521,4,2.5,11007,9,2,4,6.2,0,4,419900
2333,4,4.0,9993,23,1,3,10.1,0,3,336200
2130,2,1.5,9312,1,1,2,1.9,0,1,299300
2493,3,2.5,10601,10,3,3,10.2,0,3,401100
2560,1,1.0,9807,66,0,4,13.3,0,2,320000
2698,3,2.0,4880,15,2,4,4.2,0,4,431300
2222,4,3.5,9184,7,0,5,11.0,0,4,366600
1691,2,1.0,4705,3,2,4,4.1,0,3,272500
1895,3,2.0,9324,24,2,5,9.1,0,3,336800
2584,3,2.5,7077,21,1,2,11.6,0,4,356000
1269,5,4.0,19158,9,1,4,38.6,0,3,272600
2040,6,4.5,8840,60,2,1,3.4,0,3,285500
1544,1,1.0,3383,0,2,4,4.2,0,5,294000
1819,4,3.5,8463,7,2,3,1.4,0,4,311000
2631,3,2.5,11077,51,2,3,1.8,0,4,358300
1924,3,2.0,15693,8,2,4,9.5,0,2,306200
1830,4,3.0,6642,6,1,4,19.9,0,2,277400
916,5,4.5,2670,15,1,1,4.0,0,1,172800
2285,6,5.0,12267,35,1,3,1.6,1,3,403300
2220,4,2.5,3478,2,1,3,2.7,0,4,315000
3206,3,2.5,7255,57,1,3,4.9,0,3,420600
1600,4,2.0,7970,32,2,4,2.7,0,4,281200
1942,3,2.5,8721,4,2,3,2.1,0,3,327800
1962,4,4.0,11757,25,3,5,10.7,1,3,362800
2825,3,2.0,6265,10,1,2,0.5,0,5,368200
1738,4,2.5,7905,10,2,4,6.2,1,3,337300
1981,3,2.5,8943,31,2,4,12.6,0,3,307600
2195,2,1.0,9598,66,2,2,2.5,0,3,293100
1921,5,3.5,9391,3,1,3,7.4,0,2,270300
1510,2,2.0,10744,11,1,4,8.8,0,3,290400
1926,3,2.0,12375,13,0,4,8.5,0,3,329300
2498,3,2.0,10571,9,1,3,4.7,0,4,368100
1133,1,1.0,10814,9,2,3,3.4,0,4,203400
1886,1,1.0,2671,1,0,1,14.5,0,3,243500
1345,2,1.5,9201,23,1,2,11.4,1,1,191400
2577,5,3.5,10918,11,2,3,3.1,0,3,383800
810,3,2.5,11916,4,2,1,0.9,0,2,212800
1437,6,4.5,6231,34,2,4,0.6,0,3,288300
2045,4,3.0,6364,32,2,4,0.8,0,4,363500
2818,3,2.0,6704,13,2,5,7.0,0,2,421000
1757,4,3.0,11146,7,1,4,0.5,0,4,340000
1439,3,2.0,13136,20,2,5,3.3,1,5,338000
3023,4,3.0,7370,7,2,3,11.2,1,4,439900
859,3,2.0,12632,5,3,3,2.8,0,3,226800
500,3,1.5,9494,26,0,5,11.5,0,3,180900
2086,5,4.0,8503,1,2,3,10.9,0,5,383600
1474,5,4.0,8154,2,1,1,2.3,0,3,224500
1136,5,4.0,11986,0,2,4,10.4,0,4,300900
2260,3,2.0,10302,3,0,5,11.0,0,1,358100
1958,4,3.0,18103,1,1,4,4.1,1,1,360400
1433,3,2.5,5591,109,2,3,1.9,0,4,281000
968,3,2.5,11072,7,2,4,5.9,0,4,247700
2367,3,2.0,6883,3,2,5,20.3,0,4,340400
2223,4,3.0,5523,6,1,1,8.2,0,5,312000
1736,2,1.5,8957,55,1,4,1.5,1,2,274400
3000,3,2.5,9549,15,2,2,9.2,0,3,374900
1104,5,2.5,20673,9,2,3,4.5,0,5,258300
808,3,2.5,8263,41,3,3,7.2,0,2,180400
1350,2,2.5,4479,10,2,2,10.6,0,4,215900
1770,2,1.5,10092,8,2,2,5.8,0,3,225400
1958,5,3.5,1500,5,2,3,13.5,0,2,309600
1643,3,2.5,8632,9,2,2,10.2,0,3,298200
2029,3,2.5,9064,8,2,2,7.6,0,3,310000
986,4,3.5,12178,23,1,4,1.3,0,4,255200
2738,4,2.5,12894,7,2,3,14.5,0,4,396100
1747,3,2.5,6986,17,2,3,22.0,0,3,258900
2526,4,3.5,8398,1,2,5,1.2,0,3,421900
2023,4,3.0,5936,4,2,2,5.4,0,3,304000
2097,4,3.0,4488,10,1,3,2.4,1,2,310800
2170,2,2.0,10240,55,2,3,11.2,0,3,342000
2091,5,4.0,3906,9,2,4,10.2,0,1,301500
2218,3,1.5,7341,22,1,5,1.2,0,3,372900
